Time[s], Channel 0, Channel 1, Channel 2, Channel 3
0.000000000000000, 1, 1, 1, 0
8.207042860000000, 1, 0, 1, 0
8.207047360000001, 0, 0, 1, 0
8.207047559999999, 0, 0, 1, 1
8.207047680000001, 0, 0, 1, 0
8.207047780000000, 0, 0, 1, 1
8.207047879999999, 1, 0, 1, 0
8.207047980000000, 1, 0, 1, 1
8.207048100000000, 0, 0, 1, 0
8.207048200000001, 0, 0, 1, 1
8.207048300000000, 0, 0, 1, 0
8.207048400000000, 0, 0, 1, 1
8.207048520000001, 1, 0, 1, 0
8.207048620000000, 1, 0, 1, 1
8.207048720000000, 0, 0, 1, 0
8.207048820000001, 0, 0, 1, 1
8.207048940000000, 0, 0, 1, 0
8.207049039999999, 0, 0, 1, 1
8.207049140000001, 0, 0, 1, 0
8.207050140000000, 1, 0, 1, 0
8.207050920000000, 0, 0, 1, 0
8.207051140000001, 0, 0, 1, 1
8.207051240000000, 0, 0, 1, 0
8.207051340000000, 0, 0, 1, 1
8.207051460000001, 0, 0, 1, 0
8.207051560000000, 0, 0, 1, 1
8.207051659999999, 0, 0, 1, 0
8.207051760000001, 0, 0, 1, 1
8.207051880000000, 0, 0, 1, 0
8.207051980000001, 0, 0, 1, 1
8.207052080000000, 0, 0, 1, 0
8.207052180000000, 0, 0, 1, 1
8.207052280000001, 0, 0, 1, 0
8.207052400000000, 0, 0, 1, 1
8.207052500000000, 0, 0, 1, 0
8.207052600000001, 0, 0, 1, 1
8.207052700000000, 0, 0, 1, 0
8.207053699999999, 1, 0, 1, 0
8.207054500000000, 0, 0, 1, 0
8.207054700000000, 0, 0, 1, 1
8.207054800000000, 0, 0, 1, 0
8.207054900000001, 0, 0, 1, 1
8.207055020000000, 1, 0, 1, 0
8.207055120000000, 1, 0, 1, 1
8.207055220000001, 0, 0, 1, 0
8.207055320000000, 0, 0, 1, 1
8.207055440000000, 1, 0, 1, 0
8.207055540000001, 1, 0, 1, 1
8.207055640000000, 1, 0, 1, 0
8.207055739999999, 1, 0, 1, 1
8.207055860000001, 1, 0, 1, 0
8.207055960000000, 1, 0, 1, 1
8.207056059999999, 0, 0, 1, 0
8.207056160000000, 0, 0, 1, 1
8.207056280000000, 0, 0, 1, 0
8.207057300000001, 1, 0, 1, 0
8.207058060000000, 0, 0, 1, 0
8.207058260000000, 0, 0, 1, 1
8.207058379999999, 0, 0, 1, 0
8.207058480000001, 0, 0, 1, 1
8.207058580000000, 0, 0, 1, 0
8.207058679999999, 0, 0, 1, 1
8.207058800000000, 0, 0, 1, 0
8.207058900000000, 0, 0, 1, 1
8.207059000000001, 0, 0, 1, 0
8.207059100000000, 0, 0, 1, 1
8.207059200000000, 1, 0, 1, 1
8.207059220000000, 1, 0, 1, 0
8.207059320000001, 1, 0, 1, 1
8.207059420000000, 0, 0, 1, 0
8.207059520000000, 0, 0, 1, 1
8.207059620000001, 1, 0, 1, 0
8.207059740000000, 1, 0, 1, 1
8.207059839999999, 0, 0, 1, 0
8.207060900000000, 1, 0, 1, 0
8.207061720000000, 0, 0, 1, 0
8.207061940000001, 0, 0, 1, 1
8.207062040000000, 1, 0, 1, 0
8.207062140000000, 1, 0, 1, 1
8.207062260000001, 1, 0, 1, 0
8.207062360000000, 1, 0, 1, 1
8.207062460000000, 1, 0, 1, 0
8.207062560000001, 1, 0, 1, 1
8.207062660000000, 1, 0, 1, 0
8.207062779999999, 1, 0, 1, 1
8.207062880000001, 1, 0, 1, 0
8.207062980000000, 1, 0, 1, 1
8.207063079999999, 0, 0, 1, 0
8.207063200000000, 0, 0, 1, 1
8.207063300000000, 0, 0, 1, 0
8.207063400000001, 0, 0, 1, 1
8.207063500000000, 0, 0, 1, 0
8.207064580000001, 1, 0, 1, 0
8.207065280000000, 0, 0, 1, 0
8.207065500000001, 0, 0, 1, 1
8.207065600000000, 1, 0, 1, 0
8.207065699999999, 1, 0, 1, 1
8.207065820000000, 1, 0, 1, 0
8.207065920000000, 1, 0, 1, 1
8.207066020000001, 1, 0, 1, 0
8.207066120000000, 1, 0, 1, 1
8.207066240000000, 0, 0, 1, 0
8.207066340000001, 0, 0, 1, 1
8.207066440000000, 1, 0, 1, 0
8.207066540000000, 1, 0, 1, 1
8.207066660000001, 1, 0, 1, 0
8.207066760000000, 1, 0, 1, 1
8.207066859999999, 1, 0, 1, 0
8.207066960000001, 1, 0, 1, 1
8.207067080000000, 0, 0, 1, 0
8.207068160000000, 1, 0, 1, 0
8.207068860000000, 0, 0, 1, 0
8.207069060000000, 0, 0, 1, 1
8.207069160000000, 1, 0, 1, 0
8.207069260000001, 1, 0, 1, 1
8.207069380000000, 1, 0, 1, 0
8.207069479999999, 1, 0, 1, 1
8.207069580000001, 1, 0, 1, 0
8.207069680000000, 1, 0, 1, 1
8.207069799999999, 1, 0, 1, 0
8.207069900000000, 1, 0, 1, 1
8.207070000000000, 0, 0, 1, 0
8.207070100000001, 0, 0, 1, 1
8.207070220000000, 1, 0, 1, 0
8.207070320000000, 1, 0, 1, 1
8.207070420000001, 0, 0, 1, 0
8.207070520000000, 0, 0, 1, 1
8.207070640000000, 0, 0, 1, 0
8.207071760000000, 1, 0, 1, 0
8.207072419999999, 0, 0, 1, 0
8.207072620000000, 0, 0, 1, 1
8.207072740000001, 0, 0, 1, 0
8.207072840000000, 0, 0, 1, 1
8.207072940000000, 0, 0, 1, 0
8.207073040000001, 0, 0, 1, 1
8.207073160000000, 0, 0, 1, 0
8.207073260000000, 0, 0, 1, 1
8.207073360000001, 1, 0, 1, 0
8.207073460000000, 1, 0, 1, 1
8.207073560000000, 1, 0, 1, 0
8.207073579999999, 0, 0, 1, 0
8.207073680000001, 0, 0, 1, 1
8.207073780000000, 0, 0, 1, 0
8.207073879999999, 0, 0, 1, 1
8.207073980000001, 1, 0, 1, 0
8.207074100000000, 1, 0, 1, 1
8.207074200000001, 0, 0, 1, 0
8.207075339999999, 1, 0, 1, 0
8.207108580000000, 0, 0, 1, 0
8.207108780000000, 0, 0, 1, 1
8.207108900000000, 1, 0, 1, 0
8.207109000000001, 1, 0, 1, 1
8.207109100000000, 0, 0, 1, 0
8.207109200000000, 0, 0, 1, 1
8.207109320000001, 1, 0, 1, 0
8.207109420000000, 1, 0, 1, 1
8.207109519999999, 0, 0, 1, 0
8.207109620000001, 0, 0, 1, 1
8.207109740000000, 1, 0, 1, 0
8.207109839999999, 1, 0, 1, 1
8.207109940000000, 1, 0, 1, 0
8.207110040000000, 1, 0, 1, 1
8.207110160000001, 1, 0, 1, 0
8.207110260000000, 1, 0, 1, 1
8.207110360000000, 0, 0, 1, 0
8.207111400000001, 1, 0, 1, 0
8.207112140000000, 0, 0, 1, 0
8.207112240000001, 1, 0, 1, 0
8.207112360000000, 1, 0, 1, 1
8.207112459999999, 1, 0, 1, 0
8.207112560000001, 1, 0, 1, 1
8.207112680000000, 1, 0, 1, 0
8.207112780000001, 1, 0, 1, 1
8.207112880000000, 0, 0, 1, 0
8.207112980000000, 0, 0, 1, 1
8.207113080000001, 1, 0, 1, 0
8.207113200000000, 1, 0, 1, 1
8.207113300000000, 0, 0, 1, 0
8.207113400000001, 0, 0, 1, 1
8.207113500000000, 1, 0, 1, 0
8.207113619999999, 1, 0, 1, 1
8.207113720000001, 0, 0, 1, 0
8.207113820000000, 0, 0, 1, 1
8.207113919999999, 0, 0, 1, 0
8.207115040000000, 1, 0, 1, 0
8.207124660000000, 1, 1, 1, 0
14.837058640000000, 1, 0, 1, 0
14.837063140000000, 0, 0, 1, 0
14.837063340000000, 0, 0, 1, 1
14.837063460000000, 0, 0, 1, 0
14.837063560000001, 0, 0, 1, 1
14.837063660000000, 1, 0, 1, 0
14.837063759999999, 1, 0, 1, 1
14.837063880000001, 1, 0, 1, 0
14.837063980000000, 1, 0, 1, 1
14.837064080000001, 0, 0, 1, 0
14.837064180000000, 0, 0, 1, 1
14.837064280000000, 1, 0, 1, 1
14.837064300000000, 1, 0, 1, 0
14.837064400000001, 1, 0, 1, 1
14.837064500000000, 0, 0, 1, 0
14.837064600000000, 0, 0, 1, 1
14.837064700000001, 0, 0, 1, 0
14.837064820000000, 0, 0, 1, 1
14.837064920000000, 0, 0, 1, 0
14.837065920000001, 1, 0, 1, 0
14.837066700000001, 0, 0, 1, 0
14.837066900000000, 0, 0, 1, 1
14.837067020000001, 0, 0, 1, 0
14.837067120000000, 0, 0, 1, 1
14.837067220000000, 0, 0, 1, 0
14.837067320000001, 0, 0, 1, 1
14.837067440000000, 0, 0, 1, 0
14.837067540000000, 0, 0, 1, 1
14.837067640000001, 0, 0, 1, 0
14.837067740000000, 0, 0, 1, 1
14.837067859999999, 0, 0, 1, 0
14.837067960000001, 0, 0, 1, 1
14.837068060000000, 0, 0, 1, 0
14.837068160000001, 0, 0, 1, 1
14.837068280000000, 0, 0, 1, 0
14.837068380000000, 0, 0, 1, 1
14.837068480000001, 0, 0, 1, 0
14.837068500000001, 0, 0, 0, 0
14.837069480000000, 1, 0, 0, 0
14.837070260000001, 0, 0, 0, 0
14.837070460000000, 0, 0, 0, 1
14.837070580000001, 0, 0, 0, 0
14.837070680000000, 0, 0, 0, 1
14.837070779999999, 0, 0, 0, 0
14.837070800000001, 0, 0, 1, 0
14.837070880000001, 0, 0, 1, 1
14.837071000000000, 0, 0, 0, 0
14.837071100000001, 0, 0, 0, 1
14.837071200000000, 0, 0, 0, 0
14.837071220000000, 0, 0, 1, 0
14.837071300000000, 0, 0, 1, 1
14.837071420000001, 0, 0, 1, 0
14.837071520000000, 0, 0, 1, 1
14.837071620000000, 0, 0, 1, 0
14.837071720000001, 0, 0, 1, 1
14.837071840000000, 0, 0, 0, 0
14.837071940000000, 0, 0, 0, 1
14.837072040000001, 0, 0, 0, 0
14.837073040000000, 1, 0, 0, 0
14.837073820000001, 0, 0, 0, 0
14.837074040000001, 0, 0, 0, 1
14.837074140000000, 0, 0, 0, 0
14.837074240000000, 0, 0, 0, 1
14.837074340000001, 0, 0, 0, 0
14.837074460000000, 0, 0, 0, 1
14.837074560000000, 0, 0, 0, 0
14.837074660000001, 0, 0, 0, 1
14.837074760000000, 0, 0, 0, 0
14.837074880000001, 0, 0, 0, 1
14.837074980000001, 0, 0, 1, 0
14.837075080000000, 0, 0, 1, 1
14.837075180000001, 0, 0, 1, 0
14.837075200000001, 0, 0, 0, 0
14.837075300000000, 0, 0, 0, 1
14.837075400000000, 0, 0, 1, 0
14.837075500000001, 0, 0, 1, 1
14.837075600000000, 0, 0, 1, 0
14.837075620000000, 0, 0, 0, 0
14.837076600000000, 1, 0, 0, 0
14.837077499999999, 0, 0, 0, 0
14.837077700000000, 0, 0, 0, 1
14.837077820000001, 0, 0, 1, 0
14.837077920000000, 0, 0, 1, 1
14.837078020000000, 0, 0, 1, 0
14.837078120000001, 0, 0, 1, 1
14.837078240000000, 0, 0, 1, 0
14.837078340000000, 0, 0, 1, 1
14.837078440000001, 0, 0, 1, 0
14.837078540000000, 0, 0, 1, 1
14.837078660000000, 0, 0, 1, 0
14.837078760000001, 0, 0, 1, 1
14.837078860000000, 0, 0, 1, 0
14.837078880000000, 0, 0, 0, 0
14.837078959999999, 0, 0, 0, 1
14.837079060000001, 0, 0, 0, 0
14.837079180000000, 0, 0, 0, 1
14.837079280000001, 0, 0, 0, 0
14.837080260000000, 1, 0, 0, 0
14.837081060000001, 0, 0, 0, 0
14.837081260000000, 0, 0, 0, 1
14.837081380000001, 0, 0, 1, 0
14.837081480000000, 0, 0, 1, 1
14.837081580000000, 0, 0, 1, 0
14.837081680000001, 0, 0, 1, 1
14.837081800000000, 0, 0, 1, 0
14.837081900000001, 0, 0, 1, 1
14.837082000000001, 0, 0, 1, 0
14.837082020000000, 0, 0, 0, 0
14.837082100000000, 0, 0, 0, 1
14.837082220000001, 0, 0, 1, 0
14.837082320000000, 0, 0, 1, 1
14.837082420000000, 0, 0, 1, 0
14.837082520000001, 0, 0, 1, 1
14.837082640000000, 0, 0, 1, 0
14.837082740000000, 0, 0, 1, 1
14.837082840000001, 0, 0, 1, 0
14.837082860000001, 0, 0, 0, 0
14.837083820000000, 1, 0, 0, 0
14.837084620000001, 0, 0, 0, 0
14.837084840000001, 0, 0, 0, 1
14.837084940000000, 0, 0, 1, 0
14.837085040000000, 0, 0, 1, 1
14.837085160000001, 0, 0, 1, 0
14.837085260000000, 0, 0, 1, 1
14.837085360000000, 0, 0, 1, 0
14.837085460000001, 0, 0, 1, 1
14.837085560000000, 0, 0, 1, 0
14.837085679999999, 0, 0, 1, 1
14.837085780000001, 0, 0, 0, 0
14.837085880000000, 0, 0, 0, 1
14.837085979999999, 0, 0, 0, 0
14.837086000000001, 0, 0, 1, 0
14.837086100000000, 0, 0, 1, 1
14.837086200000000, 0, 0, 0, 0
14.837086300000001, 0, 0, 0, 1
14.837086400000000, 0, 0, 0, 0
14.837087380000000, 1, 0, 0, 0
14.837088180000000, 0, 0, 0, 0
14.837088400000001, 0, 0, 0, 1
14.837088500000000, 0, 0, 0, 0
14.837088600000000, 0, 0, 0, 1
14.837088720000001, 0, 0, 0, 0
14.837088820000000, 0, 0, 0, 1
14.837088920000001, 0, 0, 0, 0
14.837089020000001, 0, 0, 0, 1
14.837089140000000, 0, 0, 1, 0
14.837089240000001, 0, 0, 1, 1
14.837089340000000, 0, 0, 1, 0
14.837089360000000, 0, 0, 0, 0
14.837089440000000, 0, 0, 0, 1
14.837089560000001, 0, 0, 0, 0
14.837089660000000, 0, 0, 0, 1
14.837089760000000, 0, 0, 1, 0
14.837089860000001, 0, 0, 1, 1
14.837089980000000, 0, 0, 0, 0
14.837090940000000, 1, 0, 0, 0
14.837124360000001, 0, 0, 0, 0
14.837124559999999, 0, 0, 0, 1
14.837124680000001, 0, 0, 1, 0
14.837124780000000, 0, 0, 1, 1
14.837124880000001, 0, 0, 1, 0
14.837124900000001, 0, 0, 0, 0
14.837124980000000, 0, 0, 0, 1
14.837125100000000, 0, 0, 1, 0
14.837125200000001, 0, 0, 1, 1
14.837125300000000, 0, 0, 0, 0
14.837125400000000, 0, 0, 0, 1
14.837125500000001, 0, 0, 0, 0
14.837125520000001, 0, 0, 1, 0
14.837125620000000, 0, 0, 1, 1
14.837125720000000, 0, 0, 1, 0
14.837125820000001, 0, 0, 1, 1
14.837125920000000, 0, 0, 1, 0
14.837126040000001, 0, 0, 1, 1
14.837126140000001, 0, 0, 1, 0
14.837127100000000, 1, 0, 1, 0
14.837127920000000, 0, 0, 1, 0
14.837128120000001, 0, 0, 1, 1
14.837128240000000, 0, 0, 1, 0
14.837128340000000, 0, 0, 1, 1
14.837128440000001, 0, 0, 1, 0
14.837128540000000, 0, 0, 1, 1
14.837128660000001, 0, 0, 0, 0
14.837128760000001, 0, 0, 0, 1
14.837128860000000, 0, 0, 0, 0
14.837128880000000, 0, 0, 1, 0
14.837128960000001, 0, 0, 1, 1
14.837129080000000, 0, 0, 0, 0
14.837129180000000, 0, 0, 0, 1
14.837129280000001, 0, 0, 0, 0
14.837129300000001, 0, 0, 1, 0
14.837129380000000, 0, 0, 1, 1
14.837129500000000, 0, 0, 0, 0
14.837129600000001, 0, 0, 0, 1
14.837129700000000, 0, 0, 0, 0
14.837130660000000, 1, 0, 0, 0
14.837140440000001, 1, 1, 0, 0
14.837141200000000, 1, 1, 1, 0
